topic,termNamesStr,domain,count
3,"[positive, tested, news, home, people]",allafrica.com,311
3,"[positive, tested, news, home, people]",ibtimes.com,239
3,"[positive, tested, news, home, people]",thetelegraph.com,489
3,"[positive, tested, news, home, people]",iheart.com,3304
3,"[positive, tested, news, home, people]",prokerala.com,445
3,"[positive, tested, news, home, people]",pressandjournal.co.uk,296
3,"[positive, tested, news, home, people]",cnbc.com,111
3,"[positive, tested, news, home, people]",msn.com,2146
3,"[positive, tested, news, home, people]",theguardian.com,447
3,"[positive, tested, news, home, people]",netscape.com,119
3,"[positive, tested, news, home, people]",independent.co.uk,261
3,"[positive, tested, news, home, people]",globalnews.ca,344
3,"[positive, tested, news, home, people]",stamfordadvocate.com,227
3,"[positive, tested, news, home, people]",thestar.com.my,198
3,"[positive, tested, news, home, people]",go.com,283
3,"[positive, tested, news, home, people]",usatoday.com,295
3,"[positive, tested, news, home, people]",ndtv.com,357
3,"[positive, tested, news, home, people]",indiatoday.in,352
3,"[positive, tested, news, home, people]",eveningexpress.co.uk,328
3,"[positive, tested, news, home, people]",aljazeera.com,129
3,"[positive, tested, news, home, people]",indiatimes.com,1540
3,"[positive, tested, news, home, people]",mirror.co.uk,1450
3,"[positive, tested, news, home, people]",abs-cbn.com,173
3,"[positive, tested, news, home, people]",greenwichtime.com,201
3,"[positive, tested, news, home, people]",orissapost.com,392
3,"[positive, tested, news, home, people]",newsnow.co.uk,2785
3,"[positive, tested, news, home, people]",ksl.com,294
3,"[positive, tested, news, home, people]",newindianexpress.com,264
3,"[positive, tested, news, home, people]",stuff.co.nz,408
3,"[positive, tested, news, home, people]",thehour.com,210
3,"[positive, tested, news, home, people]",tucson.com,170
3,"[positive, tested, news, home, people]",nbcnews.com,648
3,"[positive, tested, news, home, people]",foxnews.com,1263
3,"[positive, tested, news, home, people]",cbc.ca,459
3,"[positive, tested, news, home, people]",abc.net.au,294
3,"[positive, tested, news, home, people]",nzherald.co.nz,567
3,"[positive, tested, news, home, people]",onlinenigeria.com,467
3,"[positive, tested, news, home, people]",gulfnews.com,215
3,"[positive, tested, news, home, people]",hindustantimes.com,596
3,"[positive, tested, news, home, people]",moneycontrol.com,65
9,"[trump, us, people, president, health]",chron.com,934
9,"[trump, us, people, president, health]",gazette.com,408
9,"[trump, us, people, president, health]",tucson.com,430
9,"[trump, us, people, president, health]",thehindu.com,223
9,"[trump, us, people, president, health]",onlinenigeria.com,413
9,"[trump, us, people, president, health]",nbcnews.com,988
9,"[trump, us, people, president, health]",washingtontimes.com,822
9,"[trump, us, people, president, health]",msn.com,2813
9,"[trump, us, people, president, health]",680news.com,352
9,"[trump, us, people, president, health]",yahoo.com,1573
9,"[trump, us, people, president, health]",orissapost.com,176
9,"[trump, us, people, president, health]",thestar.com,291
9,"[trump, us, people, president, health]",latimes.com,223
9,"[trump, us, people, president, health]",thetelegraph.com,1080
9,"[trump, us, people, president, health]",foxnews.com,659
9,"[trump, us, people, president, health]",reuters.com,2371
9,"[trump, us, people, president, health]",abc.net.au,93
9,"[trump, us, people, president, health]",scoop.co.nz,37
9,"[trump, us, people, president, health]",news.com.au,159
9,"[trump, us, people, president, health]",independent.co.uk,276
9,"[trump, us, people, president, health]",apnews.com,377
9,"[trump, us, people, president, health]",moneycontrol.com,75
9,"[trump, us, people, president, health]",stamfordadvocate.com,422
9,"[trump, us, people, president, health]",daijiworld.com,133
9,"[trump, us, people, president, health]",indiatoday.in,147
9,"[trump, us, people, president, health]",news12.com,464
9,"[trump, us, people, president, health]",ksl.com,522
9,"[trump, us, people, president, health]",thehour.com,441
